capstone_rank,content_hash_id,gsc_position_lag7,actual_ctr,expected_ctr,opportunity_gap,reason_code,recommended_action
1,content_b736513d8abbdc8b,2.8837508168886,0.0,0.024094852238817112,0.024094852238817112,METADATA_MISMATCH,Optimize Meta Title & Description CTR
2,content_839bc59672d6de8e,2.830194248686525,0.0,0.021498062831776396,0.021498062831776396,METADATA_MISMATCH,Optimize Meta Title & Description CTR
3,content_d1854e7493a9e3b5,5.627987989158202,0.0,0.021349014795759437,0.021349014795759437,METADATA_MISMATCH,Optimize Meta Title & Description CTR
4,content_4864a7a4400534c3,2.7654971098039525,0.0,0.02129816690784982,0.02129816690784982,METADATA_MISMATCH,Optimize Meta Title & Description CTR
5,content_0edac01d22a4d097,5.911111111111111,0.0,0.020774005916834377,0.020774005916834377,METADATA_MISMATCH,Optimize Meta Title & Description CTR
6,content_323e731d502b11e2,5.842764378478664,0.0,0.02043149491478132,0.02043149491478132,METADATA_MISMATCH,Optimize Meta Title & Description CTR
7,content_fd4de9c228139e72,3.5789036970790358,0.0,0.020194916651902296,0.020194916651902296,METADATA_MISMATCH,Optimize Meta Title & Description CTR
8,content_6ca2af2cd5c04025,5.615581098339718,0.0,0.020182362737637096,0.020182362737637096,METADATA_MISMATCH,Optimize Meta Title & Description CTR
9,content_d22b006fd45b3057,1.8409090909090908,0.0,0.019992693838219125,0.019992693838219125,LOW_OPPORTUNITY_GAP,Maintain / Monitor Performance
10,content_c84d0133989711c2,2.897200224575367,0.0,0.019754418764633016,0.019754418764633016,LOW_OPPORTUNITY_GAP,Maintain / Monitor Performance
11,content_96836ace1ae90a46,3.3931816790061773,0.0,0.01936595278901157,0.01936595278901157,LOW_OPPORTUNITY_GAP,Maintain / Monitor Performance
12,content_955cdc18360dca1e,5.545370465020016,0.0,0.019314545687640412,0.019314545687640412,LOW_OPPORTUNITY_GAP,Maintain / Monitor Performance
13,content_81f76ff4c3766de2,2.3574299574299573,0.0,0.019170423934254204,0.019170423934254204,LOW_OPPORTUNITY_GAP,Maintain / Monitor Performance
14,content_f0e625bd531fe4e0,5.701923076923077,0.0,0.01914418225402565,0.01914418225402565,LOW_OPPORTUNITY_GAP,Maintain / Monitor Performance
15,content_ec071e8c0be58859,2.4683380414312617,0.0,0.01909422610704194,0.01909422610704194,LOW_OPPORTUNITY_GAP,Maintain / Monitor Performance
16,content_d3ec56c713db2b5f,2.7080486494798057,0.0,0.018921236127321737,0.018921236127321737,LOW_OPPORTUNITY_GAP,Maintain / Monitor Performance
17,content_86a2991c23089d76,6.836392729134665,0.0,0.01879669400326312,0.01879669400326312,LOW_OPPORTUNITY_GAP,Maintain / Monitor Performance
18,content_d814a8cfaed6d0b0,1.5759940542549238,0.0,0.018788237782480368,0.018788237782480368,LOW_OPPORTUNITY_GAP,Maintain / Monitor Performance
19,content_6f9a3c8a553d06a4,2.389065477678617,0.0,0.018689986172345793,0.018689986172345793,LOW_OPPORTUNITY_GAP,Maintain / Monitor Performance
20,content_54296608e05722ef,5.224824623234055,0.0,0.01868218101166072,0.01868218101166072,LOW_OPPORTUNITY_GAP,Maintain / Monitor Performance
21,content_4c323cce830c0cca,5.236527260485872,0.0,0.01868218101166072,0.01868218101166072,LOW_OPPORTUNITY_GAP,Maintain / Monitor Performance
22,content_934b5a343931d70a,1.1388973771326711,0.0,0.018592781914053582,0.018592781914053582,LOW_OPPORTUNITY_GAP,Maintain / Monitor Performance
23,content_7bedf26f3711aa25,1.960158883004333,0.0,0.018412665831338205,0.018412665831338205,LOW_OPPORTUNITY_GAP,Maintain / Monitor Performance
24,content_491fc687616975b3,5.067931429881894,0.0,0.018211780017375848,0.018211780017375848,LOW_OPPORTUNITY_GAP,Maintain / Monitor Performance
25,content_b1189f9dcef04753,5.64726368159204,0.0,0.018200407423585776,0.018200407423585776,LOW_OPPORTUNITY_GAP,Maintain / Monitor Performance
26,content_02949d4260fd18ab,5.62,0.0,0.018200407423585776,0.018200407423585776,LOW_OPPORTUNITY_GAP,Maintain / Monitor Performance
27,content_4133c553537a5a83,7.077006172839506,0.0,0.018102003125337635,0.018102003125337635,LOW_OPPORTUNITY_GAP,Maintain / Monitor Performance
28,content_a9c9bca23c4a4c60,7.15625,0.0,0.018102003125337635,0.018102003125337635,LOW_OPPORTUNITY_GAP,Maintain / Monitor Performance
29,content_b34f846dd05c5956,2.9931850789096126,0.0,0.01808244262070781,0.01808244262070781,LOW_OPPORTUNITY_GAP,Maintain / Monitor Performance
30,content_0b996961093b8de2,6.599905454773138,0.0,0.018004135157772636,0.018004135157772636,LOW_OPPORTUNITY_GAP,Maintain / Monitor Performance
31,content_05cc3b2e128cb550,6.2616178215068645,0.0,0.018004135157772636,0.018004135157772636,LOW_OPPORTUNITY_GAP,Maintain / Monitor Performance
32,content_466debee476552cf,6.902050310725794,0.0,0.017960583123631944,0.017960583123631944,LOW_OPPORTUNITY_GAP,Maintain / Monitor Performance
33,content_88537d72a82fc065,6.606896171245723,0.0,0.01793692347576644,0.01793692347576644,LOW_OPPORTUNITY_GAP,Maintain / Monitor Performance
34,content_c84d0133989711c2,3.22095059428847,0.0,0.017893963896513102,0.017893963896513102,LOW_OPPORTUNITY_GAP,Maintain / Monitor Performance
35,content_2c19b86f2476c8a3,2.0344827586206895,0.0,0.017786382536264137,0.017786382536264137,LOW_OPPORTUNITY_GAP,Maintain / Monitor Performance
36,content_6e25a731c1c1916e,5.44,0.0,0.017765036960232544,0.017765036960232544,LOW_OPPORTUNITY_GAP,Maintain / Monitor Performance
37,content_5f187e01cc60348a,6.656725014399118,0.0,0.01776256385569363,0.01776256385569363,LOW_OPPORTUNITY_GAP,Maintain / Monitor Performance
38,content_7e81880fc37c6110,6.6014600210202925,0.0,0.0177138232302372,0.0177138232302372,LOW_OPPORTUNITY_GAP,Maintain / Monitor Performance
39,content_3e9e78a3246ed8f6,7.051996384282219,0.0,0.01768288341160386,0.01768288341160386,LOW_OPPORTUNITY_GAP,Maintain / Monitor Performance
40,content_3d578cc665f6f96c,5.60377358490566,0.0,0.017610333686754923,0.017610333686754923,LOW_OPPORTUNITY_GAP,Maintain / Monitor Performance
41,content_c10c75cae4a83636,2.8304321710487232,0.0,0.017551347297768825,0.017551347297768825,LOW_OPPORTUNITY_GAP,Maintain / Monitor Performance
42,content_0cd2cd2bafecf00d,4.383399209486165,0.0,0.017508933908764367,0.017508933908764367,LOW_OPPORTUNITY_GAP,Maintain / Monitor Performance
43,content_15bb73779a5d10ee,3.9657646804541216,0.0,0.017391591731837852,0.017391591731837852,LOW_OPPORTUNITY_GAP,Maintain / Monitor Performance
44,content_cdbbe38980695f5c,6.794315215245447,0.0,0.01737522265732248,0.01737522265732248,LOW_OPPORTUNITY_GAP,Maintain / Monitor Performance
45,content_20a604588c0b62ff,3.3723830945725597,0.0,0.017338165035650718,0.017338165035650718,LOW_OPPORTUNITY_GAP,Maintain / Monitor Performance
46,content_13a57ad66e1899f9,6.6198646125116705,0.0,0.017229150568645466,0.017229150568645466,LOW_OPPORTUNITY_GAP,Maintain / Monitor Performance
47,content_4d967b02a72b4b37,4.534617247353908,0.0,0.017216348279570307,0.017216348279570307,LOW_OPPORTUNITY_GAP,Maintain / Monitor Performance
48,content_c54f46a3dafc6448,6.298245614035087,0.0,0.017148777948503186,0.017148777948503186,LOW_OPPORTUNITY_GAP,Maintain / Monitor Performance
49,content_54877932afd3c643,4.1952723235156615,0.0,0.017148734384218,0.017148734384218,LOW_OPPORTUNITY_GAP,Maintain / Monitor Performance
50,content_fff680fff14351d0,5.698618040409506,0.0,0.01713503056502192,0.01713503056502192,LOW_OPPORTUNITY_GAP,Maintain / Monitor Performance
